Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
Hij had ook buikpijn (die al enkele weken aanhield) en er werd een A/P CT gemaakt die een grote, complexe ventrale hernia toonde zonder bewijs van incarceratie, maar geen andere acute pathologie. . 	 De hernia is de bron van de pijn. 	 neutral 
EKG toonde geen ischemische veranderingen en patiënt verliet AMA. 	 De patient had geen acuut myocard infarct. 	 entailment 
EKG toonde geen ischemische veranderingen en patiënt verliet AMA. 	 De patiënt had een STEMI. 	 contradiction 
EKG toonde geen ischemische veranderingen en patiënt verliet AMA. 	 De patiënt had pijn op de borst. 	 neutral 
Zij ging naar de ED en werd opgenomen voor r/o MI, wat ook gebeurde, nadat NCHCT en LP negatief waren. 	 Ze heeft een hartaanval gehad. 	 entailment 
Zij ging naar de ED en werd opgenomen voor r/o MI, wat ook gebeurde, nadat NCHCT en LP negatief waren. 	 Haar hartfunctie was normaal 	 contradiction 
Zij ging naar de ED en werd opgenomen voor r/o MI, wat ook gebeurde, nadat NCHCT en LP negatief waren. 	 Ze heeft een geschiedenis van hyperlipidemie 	 neutral 
Status na appendectomie. 	 Bijlage is verwijderd 	 entailment 
Status na appendectomie. 	 Geen chirurgische voorgeschiedenis 	 contradiction 
Status na appendectomie. 	 status na laparoscopische appendectomie 	 neutral 
De patiënt meldde dat hij op [**11-20**] twee keer een stoelgang met bloed had gehad en op [**11-21**] nog eens twee keer een stoelgang met bloed en op [**11-22**] één keer een stoelgang met bloed. 	 De patiënt heeft bloed in de ontlasting 	 entailment 
De patiënt meldde dat hij op [**11-20**] twee keer een stoelgang met bloed had gehad en op [**11-21**] nog eens twee keer een stoelgang met bloed en op [**11-22**] één keer een stoelgang met bloed. 	 De patiënt heeft geen symptomen 	 contradiction 
De patiënt meldde dat hij op [**11-20**] twee keer een stoelgang met bloed had gehad en op [**11-21**] nog eens twee keer een stoelgang met bloed en op [**11-22**] één keer een stoelgang met bloed. 	 De patiënt heeft uitwendige aambeien 	 neutral 
SBP 150s door arteriële lijn s/p 2L vloeistof s/p 3 URBC . 	 De patiënt heeft invasieve arteriële monitoring. 	 entailment 
SBP 150s door arteriële lijn s/p 2L vloeistof s/p 3 URBC . 	 De patiënt heeft geen invasieve monitoring. 	 contradiction 
SBP 150s door arteriële lijn s/p 2L vloeistof s/p 3 URBC . 	 De patiënt heeft bloedtransfusies nodig gehad. 	 neutral 
De patiënt is een 64-jarige man met een uitgebreide medische voorgeschiedenis, overgebracht van het [**Locatie 34469**]ziekenhuis met pancreatitis. 	 De patiënt heeft meerdere medische aandoeningen 	 entailment 
De patiënt is een 64-jarige man met een uitgebreide medische voorgeschiedenis, overgebracht van het [**Locatie 34469**]ziekenhuis met pancreatitis. 	 De patiënt heeft geen medische geschiedenis 	 contradiction 
De patiënt is een 64-jarige man met een uitgebreide medische voorgeschiedenis, overgebracht van het [**Locatie 34469**]ziekenhuis met pancreatitis. 	 De patiënt heeft een geschiedenis van alcoholmisbruik 	 neutral 
Chronische bloedarmoede 8. 	 Laag hemoglobinegehalte 	 entailment 
Chronische bloedarmoede 8. 	 Nierziekte 	 contradiction 
Chronische bloedarmoede 8. 	 Pallor 	 neutral 
Bij het nakijken van de systemen, meldde de patiënt 15 pond gewichtsverlies. 	 Patiënt heeft gewichtsverlies 	 entailment 
Bij het nakijken van de systemen, meldde de patiënt 15 pond gewichtsverlies. 	 Patiënt heeft geen verandering in gewicht 	 contradiction 
Bij het nakijken van de systemen, meldde de patiënt 15 pond gewichtsverlies. 	 Patiënt heeft kanker 	 neutral 
Omdat ze oppervlakkig ademde en minder kokhalsde, werd ze geïntubeerd om de luchtwegen te beschermen. . 	 De patiënt is niet in staat haar luchtweg te behouden. 	 entailment 
Omdat ze oppervlakkig ademde en minder kokhalsde, werd ze geïntubeerd om de luchtwegen te beschermen. . 	 De patiënt heeft een normale ademhaling. 	 contradiction 
Omdat ze oppervlakkig ademde en minder kokhalsde, werd ze geïntubeerd om de luchtwegen te beschermen. . 	 De patiënt heeft een longaandoening. 	 neutral 
Multiple sclerose, primair progressief, gediagnosticeerd in [**3439**]. 	 De patiënt heeft een auto-immuunziekte 	 entailment 
Multiple sclerose, primair progressief, gediagnosticeerd in [**3439**]. 	 Patiënt heeft geen PMH 	 contradiction 
Multiple sclerose, primair progressief, gediagnosticeerd in [**3439**]. 	 De patiënt heeft diffuse zwakte 	 neutral 
Borsttube verwijderd. 	 De patiënt had een borstbuisje. 	 entailment 
Borsttube verwijderd. 	 De patiënt had een uitzettende pneumothorax. 	 contradiction 
Borsttube verwijderd. 	 De patiënt had een verbeterende pneumothorax. 	 neutral 
Twee dagen daarvoor, was ze gevallen. 	 Ze heeft onlangs een trauma opgelopen 	 entailment 
Twee dagen daarvoor, was ze gevallen. 	 Geen voorgeschiedenis van vallen 	 contradiction 
Twee dagen daarvoor, was ze gevallen. 	 Ze had een hoofdwond 	 neutral 
GESCHIEDENIS: De patiënt is een 45-jarige man met ernstige hoofdpijn, misselijkheid en braken, terwijl hij op het werk was op [**3100-10-24**]. 	 De patiënt heeft pijn 	 entailment 
GESCHIEDENIS: De patiënt is een 45-jarige man met ernstige hoofdpijn, misselijkheid en braken, terwijl hij op het werk was op [**3100-10-24**]. 	 De patiënt heeft geen pijn 	 contradiction 
GESCHIEDENIS: De patiënt is een 45-jarige man met ernstige hoofdpijn, misselijkheid en braken, terwijl hij op het werk was op [**3100-10-24**]. 	 De patiënt heeft een voorgeschiedenis van hoofdletsel 	 neutral 
Na de 3e L NS, verbeterde ze tot SBP 110s maar zakte nog steeds met tussenpozen tot SBP 80's. 	 De patiënt is niet in staat om de bloeddruk stabiel te houden. 	 entailment 
Na de 3e L NS, verbeterde ze tot SBP 110s maar zakte nog steeds met tussenpozen tot SBP 80's. 	 De patiënt is hypertensief. 	 contradiction 
Na de 3e L NS, verbeterde ze tot SBP 110s maar zakte nog steeds met tussenpozen tot SBP 80's. 	 de patiënt septisch is. 	 neutral 
COPD CKD met baseline creatinine rond 2,0 AS klepgebied 0,6 cm DM2 - maar ontkent formele diagnose hiervan Hypothyreoïdie [**3293**] - primair longcarcinoom T2M0N0. 	 patiënt heeft aorta stenose 	 entailment 
COPD CKD met baseline creatinine rond 2,0 AS klepgebied 0,6 cm DM2 - maar ontkent formele diagnose hiervan Hypothyreoïdie [**3293**] - primair longcarcinoom T2M0N0. 	 patiënt heeft normale aortaklep 	 contradiction 
COPD CKD met baseline creatinine rond 2,0 AS klepgebied 0,6 cm DM2 - maar ontkent formele diagnose hiervan Hypothyreoïdie [**3293**] - primair longcarcinoom T2M0N0. 	 patiënt heeft syncope 	 neutral 
Ze kreeg ook 1 eenheid verpakte RBC en werd gestart met Levophed. 	 De patiënt werd gestart met een vasopressuur. 	 entailment 
Ze kreeg ook 1 eenheid verpakte RBC en werd gestart met Levophed. 	 De patiënt werd gestart met een antihypertensivum. 	 contradiction 
Ze kreeg ook 1 eenheid verpakte RBC en werd gestart met Levophed. 	 De patiënt is septisch. 	 neutral 
Ze geloven dat zijn denken en praten tussendoor normaal zijn en ze brachten hem naar de ED met overgeven en hoofdpijn eerder deze avond. 	 Hij heeft misselijkheid en pijn 	 entailment 
Ze geloven dat zijn denken en praten tussendoor normaal zijn en ze brachten hem naar de ED met overgeven en hoofdpijn eerder deze avond. 	 Hij heeft geen pijn 	 contradiction 
Ze geloven dat zijn denken en praten tussendoor normaal zijn en ze brachten hem naar de ED met overgeven en hoofdpijn eerder deze avond. 	 Hij heeft meningitis 	 neutral 
Het kind werd na de bevalling overgebracht naar de normale couveuseafdeling en er werd een lichte ademnood ontdekt met knorren met tussenpozen en het kind werd doorverwezen naar de NICU voor evaluatie. 	 Het kind had moeite met ademen 	 entailment 
Het kind werd na de bevalling overgebracht naar de normale couveuseafdeling en er werd een lichte ademnood ontdekt met knorren met tussenpozen en het kind werd doorverwezen naar de NICU voor evaluatie. 	 Het kind ademde normaal. 	 contradiction 
Het kind werd na de bevalling overgebracht naar de normale couveuseafdeling en er werd een lichte ademnood ontdekt met knorren met tussenpozen en het kind werd doorverwezen naar de NICU voor evaluatie. 	 het kind was klein voor de zwangerschapsduur 	 neutral 
73 jaar oude chirurg met toegenomen benauwdheid bij inspanning, gedurende de laatste 3 jaar. 	 Patiënt heeft angina 	 entailment 
73 jaar oude chirurg met toegenomen benauwdheid bij inspanning, gedurende de laatste 3 jaar. 	 De patiënt heeft geen pijn op de borst 	 contradiction 
73 jaar oude chirurg met toegenomen benauwdheid bij inspanning, gedurende de laatste 3 jaar. 	 De patiënt heeft CAD 	 neutral 
Ze heeft een peritoneale dialyse katheter geplaatst in voorbereiding om met peritoneale dialyse te beginnen. 	 de patiënt heeft eindstadium nierziekte 	 entailment 
Ze heeft een peritoneale dialyse katheter geplaatst in voorbereiding om met peritoneale dialyse te beginnen. 	 de patiënt normale nieren heeft 	 contradiction 
Ze heeft een peritoneale dialyse katheter geplaatst in voorbereiding om met peritoneale dialyse te beginnen. 	 de patiënt heeft polycysteuze nierziekte 	 neutral 
Heparine werd gestopt en er werd geen bijkomende IIB/IIIA-remmer gegeven wegens een voorgeschiedenis van BRBPR X enkele dagen en verlaagd hematocriet. 	 De patiënt heeft een bloeding 	 entailment 
Heparine werd gestopt en er werd geen bijkomende IIB/IIIA-remmer gegeven wegens een voorgeschiedenis van BRBPR X enkele dagen en verlaagd hematocriet. 	 De patiënt heeft normale labwaarden 	 contradiction 
Heparine werd gestopt en er werd geen bijkomende IIB/IIIA-remmer gegeven wegens een voorgeschiedenis van BRBPR X enkele dagen en verlaagd hematocriet. 	 De patiënt heeft een abnormaal stollingsprofiel 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 48-jarige rechtshandige man met een plotseling optredende hoofdpijn op [**2665-2-16**] in de ochtend toen hij onder de douche stond. 	 De patiënt heeft neurologische symptomen. 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 48-jarige rechtshandige man met een plotseling optredende hoofdpijn op [**2665-2-16**] in de ochtend toen hij onder de douche stond. 	 De patiënt klaagt niet over neurologische symptomen. 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 48-jarige rechtshandige man met een plotseling optredende hoofdpijn op [**2665-2-16**] in de ochtend toen hij onder de douche stond. 	 De patiënt heeft een gescheurd aneurysma. 	 neutral 
HTN, DM, Osteoarthritis, Dyslipidemie 	 Hoge bloeddruk en diabetes 	 entailment 
HTN, DM, Osteoarthritis, Dyslipidemie 	 Geen geschiedenis van hoge cholesterol of bloeddruk 	 contradiction 
HTN, DM, Osteoarthritis, Dyslipidemie 	 Insuline-afhankelijke diabetes 	 neutral 
Apgar 7 na 1 minuut en 8 na 5 minuten. 	 De patiënt is een pasgeborene 	 entailment 
Apgar 7 na 1 minuut en 8 na 5 minuten. 	 De patiënt heeft abnormale Apgar's 	 contradiction 
Apgar 7 na 1 minuut en 8 na 5 minuten. 	 De patiënt is een vrouw 	 neutral 
Op [**10/3292**] onderging hij een nieuwe katheterisatie die afgesloten grafts toonde met 80% stenose van zijn linker interne borstkransslagader. 	 de patiënt heeft stenose van zijn bypass graft 	 entailment 
Op [**10/3292**] onderging hij een nieuwe katheterisatie die afgesloten grafts toonde met 80% stenose van zijn linker interne borstkransslagader. 	 de patiënt heeft geen hartgeschiedenis 	 contradiction 
Op [**10/3292**] onderging hij een nieuwe katheterisatie die afgesloten grafts toonde met 80% stenose van zijn linker interne borstkransslagader. 	 de patiënt pijn op de borst heeft 	 neutral 
Overgebracht naar [**Ziekenhuis1 22**] voor mogelijk spoedeisende HD. 	 De patiënt heeft nierfalen 	 entailment 
Overgebracht naar [**Ziekenhuis1 22**] voor mogelijk spoedeisende HD. 	 De patiënt heeft een normale nierfunctie 	 contradiction 
Overgebracht naar [**Ziekenhuis1 22**] voor mogelijk spoedeisende HD. 	 De patiënt heeft hypertensie 	 neutral 
CXR negatief voor acute infiltraten. 	 De patient heeft geen lobar pneumonia. 	 entailment 
CXR negatief voor acute infiltraten. 	 De patiënt heeft lobar pneumonie. 	 contradiction 
CXR negatief voor acute infiltraten. 	 De patiënt heeft een duidelijke röntgenfoto van de borst. 	 neutral 
De patiënt werd binnen 2 tot 3 minuten geïntubeerd met een uitstekende respons en normale hartslag, goede ademhalingsinspanning, roze en goede activiteit. 	 De patiënt reageerde goed na intubatie 	 entailment 
De patiënt werd binnen 2 tot 3 minuten geïntubeerd met een uitstekende respons en normale hartslag, goede ademhalingsinspanning, roze en goede activiteit. 	 De patiënt was onstabiel na intubatie 	 contradiction 
De patiënt werd binnen 2 tot 3 minuten geïntubeerd met een uitstekende respons en normale hartslag, goede ademhalingsinspanning, roze en goede activiteit. 	 De patiënt was te vroeg geboren 	 neutral 
Tijdens de procedure kreeg hij haldol 5 mg IV, fentanyl 200 mg IV en versed 1,5 mg IV en hij reageerde slecht op commando's en had een laag RR in de uitslaapkamer; [**Ziekenhuisnaam 519**] opgeroepen voor evaluatie. 	 De patiënt heeft een aanzienlijke hoeveelheid anesthesie gehad. 	 entailment 
Tijdens de procedure kreeg hij haldol 5 mg IV, fentanyl 200 mg IV en versed 1,5 mg IV en hij reageerde slecht op commando's en had een laag RR in de uitslaapkamer; [**Ziekenhuisnaam 519**] opgeroepen voor evaluatie. 	 De patiënt heeft geen recente operatie gehad. 	 contradiction 
Tijdens de procedure kreeg hij haldol 5 mg IV, fentanyl 200 mg IV en versed 1,5 mg IV en hij reageerde slecht op commando's en had een laag RR in de uitslaapkamer; [**Ziekenhuisnaam 519**] opgeroepen voor evaluatie. 	 De verlaagde ademhalingsfrequentie van de patiënt wordt veroorzaakt door overmatige fentanyl en versed. 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Dit is een 19-jarige man, status na aanrijding met een motorvoertuig. 	 de patiënt had een MVC 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Dit is een 19-jarige man, status na aanrijding met een motorvoertuig. 	 de patiënt heeft geen voorgeschiedenis van trauma 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Dit is een 19-jarige man, status na aanrijding met een motorvoertuig. 	 de patiënt heeft ribbreuken 	 neutral 
De patiënt werd vervolgens overgebracht naar [**Ziekenhuis1 22**] voor een hartkatheterisatie. 	 De patiënt heeft tekenen van een MI 	 entailment 
De patiënt werd vervolgens overgebracht naar [**Ziekenhuis1 22**] voor een hartkatheterisatie. 	 Patiënt heeft negatieve ROS 	 contradiction 
De patiënt werd vervolgens overgebracht naar [**Ziekenhuis1 22**] voor een hartkatheterisatie. 	 De patiënt heeft CAD 	 neutral 
Dit had verhinderd dat hij eerder een levertransplantatie kreeg. 	 De patiënt heeft een levertransplantatie nodig. 	 entailment 
Dit had verhinderd dat hij eerder een levertransplantatie kreeg. 	 De patiënt heeft een normale lever. 	 contradiction 
Dit had verhinderd dat hij eerder een levertransplantatie kreeg. 	 De patiënt heeft alcoholisme. 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënte is een 59-jarige vrouw met een medische voorgeschiedenis van hypertensie en AVNRD, die op [**3208-9-25**] in de parkeergarage werd gevonden, zonder te reageren en zonder haar rechterzij te bewegen. 	 De patiënt heeft neurologische stoornissen. 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënte is een 59-jarige vrouw met een medische voorgeschiedenis van hypertensie en AVNRD, die op [**3208-9-25**] in de parkeergarage werd gevonden, zonder te reageren en zonder haar rechterzij te bewegen. 	 de patiënt is alert, bij bewustzijn en georiënteerd 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënte is een 59-jarige vrouw met een medische voorgeschiedenis van hypertensie en AVNRD, die op [**3208-9-25**] in de parkeergarage werd gevonden, zonder te reageren en zonder haar rechterzij te bewegen. 	 de patiënt een beroerte heeft 	 neutral 
Ze bleek in a-fib te zijn, wat ze nog nooit eerder had gehad. 	 De patiënt heeft een onregelmatige hartslag. 	 entailment 
